"","support","text","inCA","influential","username","bio"
"347","no","How many of these students used connections with the lawmakers behind #prop16? You know how you can safeguard academic excellence and not fall for scams like fake horseback riders &amp; admission folks w conflicts of interest? Objective standards. Meritocracy. Vote no on #prop16. https://t.co/ZhZpMfNokg https://t.co/W5yGiLmC75","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"348","no","@siliconvalleycf Stop lying! #Prop16 is bad news to California! https://t.co/K35oZKrKNf","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"349","no","You have no idea how ruthless this mom will be to protect my child -no f<U+0092>ing clue whatsoever. No on #prop16. https://t.co/5TOI5f1oCZ","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"350","yes","@AYellowFolk @SteveMillerOC @yesprop16 Yes, #prop16 will take us backwards, all the way to 100 years ago.

This car fits their theme pretty well, I would have to say.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"351","no","@sgarly Hmmm... a Chinese National is concerned about destroying the GOP?  WTF? #Prop16 @NoProp16","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"352","no","<U+2066>@LorenaAD80<U+2069> is lying to Californians again. #prop16 removes language from our constitution that prohibits race &amp; gender discrimination. Why? BC she wants the power to discriminate as she sees fit. She doesn<U+0092>t give a damn about women, Latinos or anyone. Look at #AB5. https://t.co/TXd3mcKU86","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"353","no","How will a racist like Alex Padilla fight for racial inequality when he<U+0092>s pushing #prop16? Don<U+0092>t let Alex pretend to care about your kids or your community, he doesn<U+0092>t. Alex only cares about Alex. https://t.co/rqIrTbrYHg","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"354","no","Remember these are the same people who have lobbied Sacramento without any regard for our children. #prop16 is racist and of course the unions love it. It means money and a lack of accountability for educational failures. Vote no on #prop16. https://t.co/d1QPKJRz0z","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"355","no","Ain<U+0092>t this the truth. No on #prop16 https://t.co/Jr2yobaYfj","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"356","no","The game of hostage is over dude. I am NOT a racist. Can you say the same about yourself? Vote no on #prop16. Enough with the communists. https://t.co/RMQqcpiAqv","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"357","yes","@JoeBiden @KamalaHarris What<U+0092>s costing me my freedom is racist #prop16 and yet awful Kamala the charlatan that she is supports it. I like you Joe. You are a decent man. You should<U+0092>ve picked Rice. Kamala brings nothing to the ticket other than her own ambitions. Don<U+0092>t accept food or drinks from her.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"358","no","@XavierBecerra You sure as hell are trying to disenfranchise Americans. Vote no on #prop16. Becerra is a paid shill. He<U+0092>s compromised.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"359","no","Powered by the people! Vote no on #prop16. Tell @LorenaSGonzalez and her band of racist crooks to shove it. Repeal #AB5. https://t.co/eFU4FOaxBT","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"360","no","Vote no on #prop16. Legalized racial discrimination is wrong. https://t.co/kU76J68j0T","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"361","no","This woman has #Chinatown in her bio and is trying to legalize discrimination against our children. Never forget and make sure Wendy never holds office again. Vote no on #prop16. Racism is wrong. https://t.co/KGWbmfIe5J","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"362","no","The fix has been in since the beginning. This is as dirty as it gets. Vote no on #prop16. Equality cannot be sold to the highest bidder.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"363","no","https://t.co/8dtzNkCZyV If #prop16 passes, Asian Americans will face the same discrimination by those private institutions. It is illegal and it is discrimination, pure and simple.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"364","no","@LorenaSGonzalez @UNITEHERE30 @unitehere @Ash_Kalra #Prop16 is a scam! It only gets rid of equal protection clause from our constitution! Read for yourself! @LorenaSGonzalez lies with no shame! @1ruthlessmom @JennyChachan @TheLeoTerrell @sacbee_news @SFGate @SophiaL81330160 @vote_prop @SFGAL8 @MLS_Rossi @ModernUlysses https://t.co/GAur7hvu04 https://t.co/yER9ROzuNC","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"365","no","@littlemanila The Stockton Chamber of Commerce has endorsed the NO on #prop16. It<U+0092>s racist and short sighted. Tubbs should speak to the small businesses in his community. Vote no on #prop16. Don<U+0092>t let the billionaire funded #yesonprop16 steal your civil rights. Equal rights are human rights.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"366","no","@plantz3610 He supports #prop16 in California. He did so bc it<U+0092>s a pet project for major donors. It<U+0092>s polling really badly so I guess Pete should<U+0092>ve had a spine and rejected it. Loser.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"367","no","@PPICNotes @GavinNewsom Hey I heard you said no organized campaign on #Prop16?Are you for real? With no money,the gross root #Noonprop16 has been doing car rally for more then three months!Of course, we were largely ignored by the MSM! We will not stop fighting! @1ruthlessmom @ECalifornians @wu_wenyuan https://t.co/j3Ib8iFH4z","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"368","no","#Prop16 is a scam! It only gets rid of equal protection clause from our constitution! Read for yourself! @LorenaSGonzalez lies with no shame! @1ruthlessmom @JennyChachan @TheLeoTerrell @sacbee_news @SFGate @SophiaL81330160 @vote_prop @SFGAL8 @MLS_Rossi @ModernUlysses https://t.co/dPHGBdfV3O","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"369","no","Oh look it<U+0092>s #prop16<U+0092>s Dolores Huerta with the @AssemblyDems<U+0092>s very own homophobic and anti-Asian bad girl @AsmGarcia. https://t.co/57XGzDoscB","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"370","no","@TamikaGHamilton Tamika, we hope that you can stand up to #prop16. #prop16 will allow government to use race, sex, or ethnicity, specifically in the areas of public employment, public contracting, and public education. People should be judged by their characters, not skin colors. https://t.co/0Ocf2UyLAK","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"371","no","Vote No on #prop16!

The #poll report on #prop16 is page 10: https://t.co/HWeTVdtbXw https://t.co/Rqo10Om9dX https://t.co/hKyJAe8Gba","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"372","no","Vote no on #prop16 and remember @AlexPadilla4CA betrayed the people of California. He is just as evil as Brian Kemp who abused his role as SOS of GA to steal the election from @staceyabrams. https://t.co/5JfsspT56V","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"373","yes","The only way to achieve this is by voting no on #prop16. Too much discretionary power masked as <U+0093>equity<U+0094> will lead to a far greater number of qualified students being barred entry. https://t.co/046oApTEgw","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"374","no","I am ""horrified"" that UC Regent Sherry Lansing is ""horrified"" about polls showing that #Prop16 is losing. Get the appointed Regents to reflect the state's demographics first, then you can be ""horrified."" Until then, #NoOnProp16","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"375","no","@eqca @Jimbealljr @BenAllenCA @SteveBradford @CASenCaballero Racists. Every last one of you.  Vote no on #prop16.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"376","no","Vote no on #prop16. The paid mouthpieces of this billionaire funded measure are lying to you. Discriminating against anymore based on race &amp; gender is wrong. The #yesonprop16 have told lie after lie &amp; are now stumped why CA voters have rejected them.Equal rights are human rights. https://t.co/njFNZHlU1f","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"377","no","I guess the paid off <U+0093>lawmakers<U+0094> in the #CALeg also got their billionaire funded allowances threatened. I see evil Lorena Gonzalez ramping up her efforts. No on #prop16 and yes on #prop22.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"378","no","Here it is!

@KTVU on our car rally at Milpitas.

Vote No On #prop16!

We do not need a caste system here in the USA https://t.co/70exiV6bjt","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"379","no","@thesherylralph No on #prop16. Equal rights are human rights.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"380","no","@RomarioEConrado This is the worse take ever. Read the audit. 1.7% got in bc they were rich spoiled brats. #prop16 is racial discrimination against those Asian American kids who already have to outscore everyone else to get in. Vote no on racist #prop16.","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"381","no","Look at him pretending to support <U+0093>Little Saigon<U+0094> as he pushes #prop16. Does Matt know that many of us are Vietnamese &amp; Chinese American? Filipinos Chinese American too. But keep trying to divide and conquer to pass your racist measure. We will never forget. https://t.co/VqDuCTv6v9","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"382","no","Never forget. Toni Atkins is a racist piece of vile garbage. Vote her out! No #prop16 https://t.co/xQJ0iCUCsJ","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"383","yes","@kets70 @1ruthlessmom @MisterAndyWong You are powerful. We all are and that is the narrative that #Prop16 stifles. We have unique talents and some will chose to hone and expand their talents with hard work and dedication. Prop 16 tries to cut out that personal inner voice in us that reaches for the sky. #NoOnProp16","no","no","1ruthlessmom","#yesonprop16 is a vote for legalizing racism. Vote no on #prop16. Fire the politicians. Love your fellow American! Equal Rights are Human Rights. #StopProp16"
"384","no","UC Chancellor Janet Politano purposely push for #Prop16 to promote racial discrimination 
UC also abolish standardized tests despite the Academic committee's study was against it.

All for the power grab!

Not a surprise! https://t.co/wizlWENTlx","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"385","no","Supporters of #Prop16 will deny they seek quotas. Instead, they want race/gender-based outcomes to be predetermined by government agencies and delegates through the practice of discrimination &amp; preferences. Got it. Not a quota, just a caste system. Feel much better. #NoOnProp16","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"386","no","#prop16 doesn't allow diversity as the ballot language says, it only allows government backed racial discrimination.

Don't be fooled!

Vote No on #prop16!

The #poll report on #prop16 is page 10:

https://t.co/G3xKo0dM7R https://t.co/gUgp52ADjc","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"387","no","Why is the @ACLU supporting California's #Prop16? Prop 16 seeks to overturn California's voter-approved anti-discrimination law enshrined in the California Constitution.

Why would the @ACLU want the government to discriminate?

Californians, VOTE NO on #Prop16! NO DISCRIMINATION https://t.co/rWlOPfSIDw","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"388","no","California doesn<U+0092>t ban affirmative action. #prop16 legalizes race discrimination. If you are voting for #prop16 then you are voting against the Civil Rights Act. https://t.co/ekGV6E4GIW","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"389","no","Your literally baking racism into the system by voting yes on #prop16. https://t.co/F57Uwj8USP","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"390","no","Asking candidates @JeffGormanMRY @Johnny_Congress @RosilicieBogh @RealErinCruz @StephenMPinto for their reaction to #Prop16 supporter @AsmGarcia, ""This makes me feel I want to punch the next Asian person I see in the face"" regarding #APA community concerns on college admissions.","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"391","no","https://t.co/8dtzNkCZyV If #prop16 passes, Asian Americans will face the same discrimination by those private institutions. It is illegal and it is discrimination, pure and simple.","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"392","no","I am ""horrified"" that UC Regent Sherry Lansing is ""horrified"" about polls showing that #Prop16 is losing. Get the appointed Regents to reflect the state's demographics first, then you can be ""horrified."" Until then, #NoOnProp16","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"393","no","Abolishing the #CALeg is not radical. It is necessarily.

This body of lawmakers is inhumane, corrupt and beyond saving....

With all of that said, I am not a drama queen like David. Just VOTE ALL OF THEM OUT AND VOTE NO ON #Prop16!!!!! https://t.co/qLZZIRZtYh","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"394","yes","@tobeequal @CA4equalrights every person should be against #prop16, even if their ethnic/ racial group stands to benefit

why?  it's about making sure gov't is fair and does't engage in discriminatory/ preferential treatment based on race, gender, etc

with #prop16 today's winners are tomorrow's losers","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"395","neutral","Let us be clear: under #Prop16, ""diversity"" amounts to government-sanctioned discrimination and preferences. This violates the 14th Amendment and destroys all that attracts immigrants from around the world. #California, continue to be a beacon of #liberty. Vote #NoOnProp16 https://t.co/2cXhom1CWW","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"396","yes","The only way to achieve this is by voting no on #prop16. Too much discretionary power masked as <U+0093>equity<U+0094> will lead to a far greater number of qualified students being barred entry. https://t.co/046oApTEgw","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"397","yes","Just in: poll shows that #Prop16 has worse support in California than Donald Trump.

31% of CA voters would vote yes today, compared to 47% that would vote NO.<U+00A0>The same pollster found 33% in CA would vote for Trump.

Great job #YesOnProp16 @yesprop16<U+00A0>

https://t.co/J0EOq9gAHJ","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"398","no","Vote no on #prop16!!! https://t.co/MqBj8w9UtD","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"399","no","@netflix get your dirty hands off our kids!

Stop #sexualizing the youths!
Stop supporting the racist #prop16!

#StopProp16 #UnityNotDivision, No on #Prop16, #NoProp16  

The live video of #CancelNetflix protest today: https://t.co/qQFcGvnv4u https://t.co/RsxBIMlGXT","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"400","yes","Thank you Professor Joseph E. Yi for endorsing our ""No On #prop16 "" campaign!

Looking forward to working more with you on this just cause!

Vote No on #Prop16!

@CA4equalrights @GailHeriot @tobeequal @GZtoGhetto @wu_wenyuan 
https://t.co/BJPgC08PNI","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"401","no","@LorenaSGonzalez @UNITEHERE30 @unitehere @Ash_Kalra #Prop16 is a scam! It only gets rid of equal protection clause from our constitution! Read for yourself! @LorenaSGonzalez lies with no shame! @1ruthlessmom @JennyChachan @TheLeoTerrell @sacbee_news @SFGate @SophiaL81330160 @vote_prop @SFGAL8 @MLS_Rossi @ModernUlysses https://t.co/GAur7hvu04 https://t.co/yER9ROzuNC","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"402","yes","@SteveMillerOC Steve, I have been with you wholeheartedly for the past six months battling #Prop16. But there will be bills just like #Prop16 all over the country if the Harris team wins the White House. Whatever is hurtful to Californians, Do Unto others <U+0001F60A>","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"403","no","How many of these students used connections with the lawmakers behind #prop16? You know how you can safeguard academic excellence and not fall for scams like fake horseback riders &amp; admission folks w conflicts of interest? Objective standards. Meritocracy. Vote no on #prop16. https://t.co/ZhZpMfNokg https://t.co/W5yGiLmC75","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"404","no","@GavinNewsom Never forget.  Newsom and @KamalaHarris back legalizing discrimination - CA #Prop16 
End racism, End discrimination 
Vote #NoOnProp16
Vote No on Harris
#RecallGavin2020","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"405","no","UC Regents, you support #Prop16. Yet, of the 19 appointed Regents, only one is #APA. And, ZERO APA males. I know 2+2 = 5 now, but how does ZERO representation = over representation? #NoOnProp16 #hypocrisy #TaxDollarsAtWork","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"406","no","@TeamPelosi Is legalizing racism and discrimination in your soul?  Nancy and Kamala endorse CA #Prop16 which would legalize unlimited government discrimination.  Can<U+0092>t make this stuff up. 
#NoOnProp16
No on #SanFranNan 
No on @KamalaHarris","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"407","no","<U+2066>@LorenaAD80<U+2069> is lying to Californians again. #prop16 removes language from our constitution that prohibits race &amp; gender discrimination. Why? BC she wants the power to discriminate as she sees fit. She doesn<U+0092>t give a damn about women, Latinos or anyone. Look at #AB5. https://t.co/TXd3mcKU86","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"408","no","@PBlove2smile Amazing. UC Regents, get your act together. You support #Prop16, then an audit revealed your campuses granting preferences to unqualified over represented students with rich/connected parents. Now, you discriminate against women? #NoOnProp16 #Hypocrisy","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"409","yes","Yes, let<U+0092>s look at who is in power. CA has a supermajority of Democrats in power. #Prop16 is backed by all of the powerful party elites &amp; funded by billionaires. Let<U+0092>s look at who was discriminated before 209 and who will be discriminated again if #prop16 passes, Asian Americans. https://t.co/2hPfyHq81j","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"410","no","This poll shows that racism has no place anywhere in California, vote NO on #prop16 https://t.co/mtiVCriz6R","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"411","no","#Prop16 will divide Californians into unequal sub-groups, increase conflict among different races, and patronize people by presuming that they cannot succeed on their own. Vote No On #Prop16. https://t.co/uMFHKes7GP","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"412","no","@edifiquest @ucpress They won<U+0092>t admit! We people reject #Prop16! No racial division! https://t.co/iYMZxayWpp","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"413","no","Regent Lansing, are you ""horrified"" that of the 19 appointed UC Regents, 4 are Latino (21%) and only 1 is #APA ( 5%), well below their respective general population contributions of 39% and 15%? Take care of your own (glass) house before commenting on #Prop16. #NoOnProp16 https://t.co/8BQfjwrSnh","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"414","no","<U+0093>Have the no self respect?<U+0094> We<U+0092>ve got plenty of self respect which is why we find the Democrat<U+0092>s anti-Asian #prop16 unacceptable. https://t.co/sl94XkC3L4","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"415","no","Look at him pretending to support <U+0093>Little Saigon<U+0094> as he pushes #prop16. Does Matt know that many of us are Vietnamese &amp; Chinese American? Filipinos Chinese American too. But keep trying to divide and conquer to pass your racist measure. We will never forget. https://t.co/VqDuCTv6v9","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"416","no","Why is Regent Sherry Lansing ""horrified"" by surveys that are showing voters are against #Prop16? This is the voice &amp; will of the people fighting government overreach. Represent, do not dictate your elitist condescension, Regent Lansing. #NoOnProp16   https://t.co/5R87p4RQt8","no","yes","townerman1","<U+2764><U+FE0F> for all people. Stop reducing people to the color of their skin. Child Abuse Culture as a Consequence of Anti-Racism -https://medium.com/@goodparent"
"417","no","The conversation on #Prop209 and #Prop16 in #highered still exclusively about highly selective campuses, in UC system and then CSU. Less discussion on the detrimental impact of 209 on #comm_colleges and its ability to achieve racial equity @AGuzmanLopez @kpcc https://t.co/kg2idrOJBY","no","no","FutureDr_Drea","Latina; HigherEd Scholar; TRIOMcNair Alum; FirstGen HS & College Grad; Doctoral Program #Drexel2020; Director:@APLU_NEWS/@USUNews. Tweets are my own."
"418","no","The conversation on #Prop209 and #Prop16 in #highered still exclusively about highly selective campuses, in UC system and then CSU. Less discussion on the detrimental impact of 209 on #comm_colleges and its ability to achieve racial equity @AGuzmanLopez @kpcc https://t.co/kg2idrOJBY","no","yes","ajgradilla","Chicano scholar & public intellectual...critical bioethics, anti-racism educator. Retweet<U+2260> endorsement. Personal views only."
"419","no","@WriterPhil @lzha0 @lhfang #Prop16 <U+0001F447><U+0001F447><U+0001F447><U+0001F447><U+0001F447><U+0001F447><U+0001F447>No good! https://t.co/0DbO19irLB","yes","no","sisyphean2020","My tweet is mostly about Prop16, a discriminatory and divisive bill that will be voted this November in California. It needs to be voted down!"
"420","no","@demianbulwa @NanetteAsimov And UC wants to use #Prop16 to remove  <U+0093>prohibits discriminating, and preferential treatment <U+0093> from our constitution? We need to stop #Prop16 ! Otherwise, this kind of blatant corruption and abuse of power will be legal! We need to hold UC accountable! #noonprop16! @ucpress https://t.co/Px3coX2E0X","yes","no","sisyphean2020","My tweet is mostly about Prop16, a discriminatory and divisive bill that will be voted this November in California. It needs to be voted down!"
"421","yes","@mercnews Like the supporter and mega donor of a special treatment bill #Prop16 Wayne<U+0092>s son? So once #Prop16 passes, @UCBerkeley can openly admit whoever they want, without merits! @mercnews why did you support such a bill? https://t.co/uHL3GAxPdg","yes","no","sisyphean2020","My tweet is mostly about Prop16, a discriminatory and divisive bill that will be voted this November in California. It needs to be voted down!"
"422","no","@sfchronicle And UC wants to use #Prop16 to remove  <U+0093>prohibits discriminating, and preferential treatment <U+0093> from our constitution? We need to stop #Prop16 ! Otherwise, this kind of blatant corruption and abuse of power will be legal! We need to hold UC accountable! #noonprop16! @ucpress https://t.co/6cYwkD3kBp","yes","no","sisyphean2020","My tweet is mostly about Prop16, a discriminatory and divisive bill that will be voted this November in California. It needs to be voted down!"
"423","no","@TomHJC @lhfang #Prop16 is a scam! https://t.co/rRgJk8yEaQ","yes","no","sisyphean2020","My tweet is mostly about Prop16, a discriminatory and divisive bill that will be voted this November in California. It needs to be voted down!"
"424","no","@AshASmithNews @calstate Americans will reject this divisive and discriminatory bill #Prop16! https://t.co/szhBfs2auj","yes","no","sisyphean2020","My tweet is mostly about Prop16, a discriminatory and divisive bill that will be voted this November in California. It needs to be voted down!"
